,team_id,Bunker and Counter,Control and Regroup,Launch and Squish,Press and Possess,building_patient,progression_patient,chaos,highpress,counterpress,team_name
0,1.0,11.76470588235294,50.0,5.88235294117647,32.35294117647059,9.1120057438843,13.803271962664754,-19.939484076106467,-34.89409713318632,0.705164367403457,Atlanta United
1,2.0,17.647058823529413,47.05882352941176,5.88235294117647,29.411764705882355,11.099287142930407,9.437663469921535,-15.236678804041233,-36.06723421713934,-4.076491102107799,Austin FC
2,3.0,32.35294117647059,23.52941176470588,17.647058823529413,26.47058823529412,6.113134006872147,-7.461921124160212,4.118159905636187,-18.577875788501974,6.129801528283502,CF Montreal
3,4.0,20.588235294117645,52.94117647058824,2.941176470588235,23.52941176470588,8.165803374532025,5.086158264526387,-24.678188625057693,-41.873942253448895,-12.85450535924919,Charlotte
4,5.0,14.705882352941178,41.17647058823529,5.88235294117647,38.23529411764706,29.060464639212267,4.1117493204779745,-15.680291296989587,-30.327196266475205,0.6692650905174633,Chicago Fire
5,6.0,23.52941176470588,41.17647058823529,14.705882352941178,20.588235294117645,6.87471152366788,9.123544797169089,-3.0616954715626434,-18.581722139596906,0.28206574696138326,Cincinnati
6,7.0,55.88235294117647,23.52941176470588,5.88235294117647,14.705882352941178,-12.980152828350173,9.109441509821018,0.4513051951382136,-34.758192727832196,12.558336324939742,Colorado Rapids
7,8.0,5.88235294117647,29.411764705882355,2.941176470588235,61.76470588235294,14.198164008410687,33.15811067234217,-22.198574285860815,-31.043899687163442,10.851838555823376,Columbus Crew
8,9.0,29.411764705882355,17.647058823529413,26.47058823529412,26.47058823529412,1.5475152571926756,-7.619621519052259,5.279757936304427,-22.79091235447972,7.840145648494797,DC United
9,10.0,73.52941176470588,11.76470588235294,5.88235294117647,8.823529411764707,-16.244422790912353,-20.2561669829222,2.4026873172983247,-30.861839068670186,2.4603825837222435,FC Dallas
10,11.0,14.705882352941178,38.23529411764706,2.941176470588235,44.11764705882353,8.726088517359862,18.75993640699523,-20.73696086978819,-29.25919277911688,3.9950766705984924,Houston Dynamo
11,12.0,5.88235294117647,52.94117647058824,5.88235294117647,35.294117647058826,32.3952510385148,13.972511410841584,-14.813580183599159,-27.839889225088463,-1.3500692343197074,Inter Miami
12,13.0,2.941176470588235,61.76470588235294,5.88235294117647,29.411764705882355,13.307092671419047,29.595107441407254,-26.603928406584952,-38.8558387609621,-9.672290886712137,LA Galaxy
13,14.0,2.941176470588235,70.58823529411765,2.941176470588235,23.52941176470588,16.718806092620135,37.371147238319914,-24.639725114108415,-32.42986819836914,-7.3388378891225186,LAFC
14,15.0,73.52941176470588,14.705882352941178,2.941176470588235,8.823529411764707,-16.553412995538235,-15.20206164418688,9.89025078209139,-35.45951074414072,12.037796810092825,Minnesota United
15,16.0,20.588235294117645,38.23529411764706,5.88235294117647,35.294117647058826,19.377916816246987,12.822452433458128,-17.993230422072926,-33.67095748499923,6.5221293399661535,Nashville SC
16,17.0,20.588235294117645,44.11764705882353,17.647058823529413,17.647058823529413,11.181342632955536,-0.9731268270167691,-7.879891276475716,-23.033232473460174,-5.450279501512896,New England Revolution
17,18.0,17.647058823529413,32.35294117647059,17.647058823529413,32.35294117647059,11.980101543668907,10.57746551105185,-0.217959895379248,-19.135596697266525,12.317298322990924,New York City FC
18,19.0,17.647058823529413,14.705882352941178,26.47058823529412,41.17647058823529,2.9783578645058713,11.389045592081645,8.733781219549723,-9.219703574542285,14.593056054156623,New York Red Bulls
19,20.0,26.47058823529412,41.17647058823529,5.88235294117647,26.47058823529412,-4.678445048464025,8.726088517359866,-15.834145340786707,-28.620698497358838,-10.081286219806143,Orlando City
20,21.0,50.0,0.0,50.0,0.0,-29.852812964767423,-12.90194368941997,34.58895327965537,-4.934868454792552,27.551412892968873,Philadelphia Union
21,22.0,29.411764705882355,32.35294117647059,11.76470588235294,26.47058823529412,1.6039284065849515,12.80450279501513,-6.543925329504075,-29.404072003692498,-1.5975178214267383,Portland Timbers
22,23.0,23.52941176470588,35.294117647058826,8.823529411764707,32.35294117647059,15.514898199907687,2.2975537207036267,-8.759423560182574,-25.888507102928354,3.129647674239706,Real Salt Lake
23,24.0,5.88235294117647,50.0,2.941176470588235,41.17647058823529,38.54043797117801,20.716446997281913,-21.106210574901276,-23.661469818965074,2.1821631878557888,San Diego FC
24,25.0,32.35294117647059,2.941176470588235,50.0,14.705882352941178,-7.642699625621828,-9.590235396687008,20.83440176419304,3.534796656238783,13.101953946356225,San Jose Earthquakes
25,26.0,8.823529411764707,58.82352941176471,5.88235294117647,26.47058823529412,13.546848556336222,21.4254577157803,-14.352018052207805,-24.592286783937638,-4.446381865736704,Seattle Sounders
26,27.0,17.647058823529413,41.17647058823529,8.823529411764707,32.35294117647059,-8.51582132417047,17.072670393353505,-15.908508128621982,-31.00287194215088,-0.8449151238525044,Sporting Kansas City
27,28.0,26.47058823529412,38.23529411764706,14.705882352941178,20.588235294117645,8.120929278424533,-10.64669983076055,-4.356633673521719,-20.176675726960354,-5.556695215139237,St. Louis City
28,29.0,26.47058823529412,35.294117647058826,17.647058823529413,20.588235294117645,-6.984973588389149,6.704189958459409,-6.0233858146571615,-29.91307246525463,3.45145904918201,Toronto FC
29,30.0,5.88235294117647,44.11764705882353,11.76470588235294,38.23529411764706,19.39458433765834,14.985383865839275,-15.239243038104519,-20.56643930457972,0.4564336632647836,Vancouver Whitecaps
