points,shots,sot,xg,npxg,shots_against,sot_against,xg_against,npxg_against,xgd,npxgd,team_name,xpoints
28,399,130,52.45850852913966,49.65412125866671,429,179,54.695879474221286,50.497595444260654,-2.2373709450816293,-0.8434741855939407,Atlanta United,45.006299999999996
47,378,124,46.9700279498599,45.50931027272115,472,171,55.18287782933744,51.455763779205036,-8.212849879477545,-5.946453506483884,Austin FC,42.2811
28,390,143,47.78674206373587,44.81260267974183,451,170,55.4034467523771,55.4034467523771,-7.616704688641228,-10.59084407263527,CF Montreal,41.797000000000004
59,361,142,55.06535468759897,51.31535468759897,515,183,59.23317289324218,52.81740326592439,-4.167818205643208,-1.5020485783254216,Charlotte,44.3594
53,469,192,62.54843716998058,58.04843716998058,462,159,60.46410102150329,53.234101630761444,2.0843361484772913,4.814335539219137,Chicago Fire,50.3626
65,475,192,53.35737007436861,51.42709867743383,468,142,57.38823691366571,52.164097529671665,-4.030866839297097,-0.7369988522378321,Cincinnati,45.1457
41,413,139,53.84196039406691,47.53119054984198,520,187,61.916073290704254,59.666073290704254,-8.074112896637345,-12.134882740862274,Colorado Rapids,42.1731
54,449,161,62.8934885853796,59.445247093577564,346,138,49.34922875084947,48.02848276861976,13.54425983453013,11.416764324957803,Columbus Crew,55.9915
26,380,122,42.10962609802825,40.524396275686016,447,180,56.12683450572502,52.68299175847631,-14.01720840769677,-12.158595482790297,DC United,38.3425
44,372,143,52.95959976321795,49.37742415216529,504,170,58.73350750094535,52.749866212702116,-5.773907737727399,-3.3724420605368266,FC Dallas,44.0997
37,422,131,49.964292981937,47.12240366013295,413,146,56.10164252507156,53.10164252507156,-6.137349543134562,-5.979238864938608,Houston Dynamo,43.0003
65,457,195,68.77789105709003,65.77789105709003,402,161,57.61553735334381,56.86553735334381,11.16235370374622,8.91235370374622,Inter Miami,53.621300000000005
30,415,156,52.22967382339854,50.35066486796745,459,167,63.257261873671766,60.32703808553702,-11.027588050273224,-9.976373217569567,LA Galaxy,41.365
60,477,196,65.40894275414728,59.0485590253171,364,120,37.92196130175933,34.99539728724256,27.486981452387944,24.053161738074536,LAFC,64.8801
58,411,161,51.767317649289765,48.79781153829376,471,165,51.59683122966208,47.94804872307696,0.17048641962768585,0.8497628152167991,Minnesota United,46.9592
54,471,196,65.95934633431148,58.74170429419122,377,140,47.422730244810104,44.04307855252418,18.536616089501372,14.698625741667044,Nashville SC,57.8409
36,411,150,50.73866104584932,47.06503768379738,505,154,60.626010048388586,58.079818995305395,-9.887349002539267,-11.014781311508017,New England Revolution,40.5473
56,424,145,58.893263669531045,53.69707106224745,414,143,49.618135260031764,46.82668271063382,9.275128409499281,6.870388351613634,New York City FC,53.0008
43,399,136,52.40202215538351,46.54784663432269,391,152,59.4253714343127,57.20238201111221,-7.023349278929189,-10.654535376789525,New York Red Bulls,42.8345
53,552,197,66.36696340198118,64.37868806482108,447,163,50.72329122136895,47.7726572825175,15.643672180612228,16.606030782303577,Orlando City,57.0542
66,524,170,63.69662905862251,60.99834502866188,338,108,43.88982189653295,40.4610273798168,19.806807162089562,20.537317648845082,Philadelphia Union,60.5235
44,420,150,49.263004875614094,46.263004875614094,470,168,60.435175107556475,55.99845476611246,-11.172170231942381,-9.735449890498366,Portland Timbers,39.8948
41,492,155,49.170747108093636,47.14170464086742,459,144,59.4459519123954,53.84949749895216,-10.275204804301765,-6.707792858084744,Real Salt Lake,42.0238
63,452,172,59.76552788146101,55.316147586109864,379,145,54.52337433723616,50.04052910897546,5.242153544224848,5.275618477134401,San Diego FC,51.882799999999996
41,535,190,67.24373298283831,63.808444459514476,427,174,63.24502358992048,61.81508706916519,3.9987093929178315,1.9933573903492885,San Jose Earthquakes,49.5108
55,483,175,62.06558078832516,58.493704741146054,408,156,47.437920183257056,42.89764280276079,14.627660605068101,15.596061938385262,Seattle Sounders,55.6118
28,398,138,47.3023174739955,42.461687856820845,497,201,77.66742559610172,71.81505837750592,-30.36510812210622,-29.353370520685075,Sporting Kansas City,30.2851
32,491,165,55.545661406699004,52.73050746704954,533,181,64.8137885599205,58.92294017648471,-9.268127153221492,-6.192432709435167,St. Louis City,41.8633
32,342,118,35.76225657669466,33.51225657669466,433,165,57.38706428391888,53.63706428391888,-21.62480770722422,-20.12480770722422,Toronto FC,33.5398
63,500,177,71.6747401903773,64.30184756254236,361,129,42.342011639185245,38.90110407785613,29.332728551192062,25.40074348468623,Vancouver Whitecaps,63.1175
